subject,timestamp,marker,pupil_left,validity_left,pupil_right,validity_right,trial,time,event,pupil_left_old,pupil_right_old
42,1464956702194753,32,3.07085,0,3.13731,0,11,-3012.045,fixation,3.07085,3.13731
42,1464956702211500,32,3.04987,0,3.13936,0,11,-2995.2980000000002,fixation,3.04987,3.13936
42,1464956702228123,32,3.05482,0,3.1185,0,11,-2978.675,fixation,3.05482,3.1185
42,1464956702244748,32,3.03369,0,3.12462,0,11,-2962.05,fixation,3.03369,3.12462
42,1464956702261372,32,3.03995,0,3.10921,0,11,-2945.4260000000004,fixation,3.03995,3.10921
42,1464956702277998,32,3.01656,0,3.13968,0,11,-2928.8,fixation,3.01656,3.13968
42,1464956702294745,32,3.03065,0,3.1118,0,11,-2912.053,fixation,3.03065,3.1118
42,1464956702311369,32,3.02448,0,3.10297,0,11,-2895.429,fixation,3.02448,3.10297
42,1464956702327993,32,3.00394,0,3.07031,0,11,-2878.8050000000003,fixation,3.00394,3.07031
42,1464956702344618,32,2.97458,0,3.06512,0,11,-2862.1800000000003,fixation,2.97458,3.06512
42,1464956702361366,32,3.00049,0,3.0822600000000002,0,11,-2845.4320000000002,fixation,3.00049,3.0822600000000002
42,1464956702377991,32,2.97824,0,3.06084,0,11,-2828.8070000000002,fixation,2.97824,3.06084
42,1464956702394613,32,2.95152,0,3.028,0,11,-2812.1850000000004,fixation,2.95152,3.028
42,1464956702411243,32,2.99348,0,3.04858,0,11,-2795.5550000000003,fixation,2.99348,3.04858
42,1464956702427860,32,2.96819,0,3.05339,0,11,-2778.938,fixation,2.96819,3.05339
42,1464956702444610,32,2.9678,0,3.02985,0,11,-2762.188,fixation,2.9678,3.02985
42,1464956702461240,32,2.96077,0,3.00534,0,11,-2745.558,fixation,2.96077,3.00534
42,1464956702477858,32,2.93629,0,2.99821,0,11,-2728.9400000000005,fixation,2.93629,2.99821
42,1464956702494481,32,2.9109,0,2.9796,0,11,-2712.317,fixation,2.9109,2.9796
42,1464956702511237,32,2.90575,0,2.98894,0,11,-2695.561,fixation,2.90575,2.98894
42,1464956702527855,32,2.91452,0,2.96115,0,11,-2678.943,fixation,2.91452,2.96115
42,1464956702544479,32,2.90512,0,2.95502,0,11,-2662.3190000000004,fixation,2.90512,2.95502
42,1464956702561103,32,2.93076,0,2.93617,0,11,-2645.695,fixation,2.93076,2.93617
42,1464956702577850,32,2.92159,0,3.01163,0,11,-2628.9480000000003,fixation,2.92159,3.01163
42,1464956702594473,32,2.89798,0,2.95367,0,11,-2612.3250000000003,fixation,2.89798,2.95367
42,1464956702611098,32,2.90906,0,2.97234,0,11,-2595.7000000000003,fixation,2.90906,2.97234
42,1464956702627722,32,2.96007,0,3.00963,0,11,-2579.076,fixation,2.96007,3.00963
42,1464956702644346,32,2.91365,0,2.97554,0,11,-2562.452,fixation,2.91365,2.97554
