timestamp,event,pupil_left,pupil_right,validity_left,validity_right
351470.859,fixation,2.938604,2.757145,0,0
351487.485,fixation,2.979162,2.770985,0,0
351504.237,fixation,2.984826,2.783365,0,0
351520.863,fixation,2.952754,2.799244,0,0
351537.491,fixation,2.968659,2.762816,0,0
351554.117,fixation,2.957776,2.776202,0,0
351570.869,fixation,2.959284,2.772387,0,0
351587.495,fixation,2.954244,2.758916,0,0
351604.122,fixation,2.944742,2.751214,0,0
351620.749,fixation,2.904183,2.724462,0,0
351637.373,fixation,2.898616,2.733675,0,0
351654.124,fixation,2.906633,2.73776,0,0
351670.75,fixation,2.890856,2.723354,0,0
351687.376,fixation,2.919461,2.723507,0,0
351704.003,fixation,2.912954,2.73951,0,0
351720.754,fixation,2.897653,2.732668,0,0
351737.381,fixation,2.89171,2.715123,0,0
351754.007,fixation,2.91718,2.685087,0,0
351770.634,fixation,2.880471,2.683905,0,0
351787.261,fixation,2.8915,2.708663,0,0
351804.013,fixation,2.893099,2.723192,0,0
351820.637,fixation,2.880713,2.724108,0,0
351837.263,fixation,2.885899,2.690302,0,0
351853.89,fixation,2.900576,2.71717,0,0
351870.641,fixation,2.88132,2.694868,0,0
351887.268,fixation,2.895311,2.696652,0,0
351903.894,fixation,2.944561,2.70666,0,0
351920.521,fixation,2.921602,2.727156,0,0
351937.147,fixation,2.921063,2.753757,0,0
351953.899,fixation,2.922718,2.749132,0,0
351970.525,fixation,2.937332,2.76972,0,0
351987.152,fixation,2.918727,2.763405,0,0
352003.775,fixation,2.914125,2.765455,0,0
352020.527,fixation,2.909589,2.727073,0,0
352037.153,fixation,2.910927,2.740444,0,0
352053.781,fixation,2.909521,2.744479,0,0
352070.406,fixation,2.874435,2.728503,0,0
352087.033,fixation,2.879807,2.6915,0,0
352103.785,fixation,2.868231,2.685175,0,0
352120.412,fixation,2.879351,2.680718,0,0
352137.038,fixation,2.897728,2.686834,0,0
352153.665,fixation,2.874856,2.683579,0,0
352170.416,fixation,2.828524,2.65234,0,0
352187.041,fixation,2.859833,2.67152,0,0
352203.667,fixation,2.845333,2.646978,0,0
352220.294,fixation,2.854263,2.639114,0,0
352237.045,fixation,2.861055,2.641322,0,0
352253.671,fixation,2.840861,2.644249,0,0
352270.298,fixation,2.861598,2.630991,0,0
352286.924,fixation,2.840789,2.640538,0,0
352303.551,fixation,2.816919,2.63867,0,0
352320.302,fixation,2.835318,2.647043,0,0
352336.928,fixation,2.815686,2.63831,0,0
352353.555,fixation,2.835046,2.645555,0,0
352370.179,fixation,2.834934,2.619656,0,0
352386.945,fixation,2.833836,2.647636,0,0
352403.558,fixation,2.814566,2.630836,0,0
352420.184,fixation,2.855639,2.610149,0,0
352436.811,fixation,2.846076,2.599754,0,0
352453.437,fixation,2.826723,2.608473,0,0
352470.189,feedback,2.848367,2.634307,0,0
352486.815,feedback,2.82272,2.633109,0,0
352503.442,feedback,2.814862,2.638227,0,0
352520.068,feedback,2.798451,2.628757,0,0
352536.822,feedback,2.825844,2.621053,0,0
352553.444,feedback,2.850698,2.656569,0,0
352570.071,feedback,2.863746,2.652819,0,0
352586.697,feedback,2.857162,2.633306,0,0
352603.324,feedback,2.839927,2.631738,0,0
352620.072,feedback,2.852485,2.621842,0,0
352636.702,feedback,2.867408,2.647141,0,0
352653.329,feedback,2.871862,2.668034,0,0
352669.963,feedback,2.890711,2.64314,0,0
352686.706,feedback,2.877904,2.655114,0,0
352703.337,feedback,2.860884,2.656913,0,0
352719.959,feedback,2.949073,2.689348,0,0
352736.583,feedback,2.921164,2.688798,0,0
352753.21,feedback,2.926724,2.662044,0,0
352769.961,feedback,2.925597,2.656168,0,0
352786.588,feedback,2.928376,2.658113,0,0
352803.214,feedback,2.921631,2.684979,0,0
352819.841,feedback,2.93087,2.665068,0,0
352836.592,feedback,2.938421,2.669524,0,0
352853.219,feedback,2.935624,2.701118,0,0
352869.845,feedback,2.929529,2.660997,0,0
352886.472,feedback,2.906058,2.67745,0,0
352903.223,feedback,2.926071,2.685195,0,0
352919.848,feedback,2.897299,2.662022,0,0
352936.475,feedback,2.877259,2.689404,0,0
352953.102,feedback,2.876288,2.683685,0,0
352969.728,feedback,2.884133,2.652656,0,0
352986.48,feedback,2.903708,2.657142,0,0
353003.106,feedback,2.858408,2.655213,0,0
353019.732,feedback,2.885307,2.655113,0,0
353036.358,feedback,2.847045,2.641238,0,0
353053.109,feedback,2.875929,2.622636,0,0
353069.736,feedback,2.836728,2.629894,0,0
353086.362,feedback,2.843651,2.628121,0,0
353102.987,feedback,2.838214,2.623254,0,0
353119.623,feedback,2.824541,2.630856,0,0
353136.365,feedback,2.835458,2.617533,0,0
353152.991,feedback,2.830249,2.613877,0,0
353169.618,feedback,2.813913,2.575578,0,0
353186.244,feedback,2.837373,2.593979,0,0
353202.997,feedback,2.83478,2.642054,0,0
353219.622,feedback,2.856789,2.68875,0,0
353236.25,feedback,2.801234,2.594471,0,0
353252.876,feedback,-1,-1,4,4
353269.503,feedback,-1,-1,4,4
353286.251,feedback,-1,3.361298,4,0
353302.882,feedback,-1,3.180386,4,0
353319.505,feedback,-1,-1,4,4
353336.132,feedback,3.119521,3.199164,0,0
353352.883,feedback,-1,3.30981,4,0
353369.509,feedback,-1,-1,4,4
353386.136,feedback,-1,-1,4,4
353402.761,feedback,3.115922,-1,0,4
353419.389,feedback,3.360685,-1,0,4
353436.14,feedback,-1,-1,4,4
353452.766,feedback,-1,-1,4,4
353469.391,feedback,-1,-1,4,4
353486.017,feedback,-1,-1,4,4
353502.707,feedback,-1,-1,4,4
353519.374,feedback,-1,-1,4,4
353536.022,feedback,-1,2.622776,4,0
353552.649,feedback,-1,-1,4,4
353569.275,feedback,-1,-1,4,4
353586.027,feedback,-1,-1,4,4
353602.653,feedback,-1,-1,4,4
353619.28,feedback,-1,-1,4,4
353635.906,feedback,-1,-1,4,4
353652.595,feedback,-1,-1,4,4
353669.262,feedback,-1,-1,4,4
353685.899,feedback,-1,-1,4,4
353702.565,feedback,-1,-1,4,4
353719.288,feedback,2.22297,2.706828,0,0
353735.913,feedback,-1,2.7777250000000002,4,0
353752.539,feedback,-1,2.763062,4,0
353769.165,feedback,2.976044,2.801889,0,0
353785.792,feedback,3.031374,2.78856,0,0
353802.543,feedback,3.069371,2.815305,0,0
353819.17,feedback,3.075298,2.826153,0,0
353835.794,feedback,3.082735,2.824878,0,0
353852.419,feedback,3.112623,2.852722,0,0
353869.173,feedback,3.098601,2.871747,0,0
353885.799,feedback,3.154782,2.859407,0,0
353902.426,feedback,3.11895,2.886436,0,0
353919.052,feedback,3.124616,2.867579,0,0
353935.679,feedback,3.151962,2.877888,0,0
