subject,timestamp,marker,pupil_left,validity_left,pupil_right,validity_right,trial,time,event,pupil_left_old,pupil_right_old
42,1464956757012873,41,2.94875,0,2.99287,0,14,-2079.483,fixation,2.94875,2.99287
42,1464956757029496,41,2.95438,0,2.9942,0,14,-2062.86,fixation,2.95438,2.9942
42,1464956757046120,41,2.98145,0,3.03189,0,14,-2046.2360000000003,fixation,2.98145,3.03189
42,1464956757062744,41,2.97209,0,3.01346,0,14,-2029.612,fixation,2.97209,3.01346
42,1464956757079493,41,2.94905,0,3.00931,0,14,-2012.8630000000003,fixation,2.94905,3.00931
42,1464956757096117,41,2.93469,0,2.98911,0,14,-1996.239,fixation,2.93469,2.98911
42,1464956757112742,41,2.95134,0,3.03444,0,14,-1979.614,fixation,2.95134,3.03444
42,1464956757129368,41,2.99149,0,3.04764,0,14,-1962.9880000000003,fixation,2.99149,3.04764
42,1464956757146115,41,2.96422,0,2.99174,0,14,-1946.241,fixation,2.96422,2.99174
42,1464956757162736,41,2.99448,0,3.01074,0,14,-1929.6200000000003,fixation,2.99448,3.01074
42,1464956757179360,41,2.98331,0,2.99622,0,14,-1912.996,fixation,2.98331,2.99622
42,1464956757195984,41,2.97499,0,2.99669,0,14,-1896.3720000000003,fixation,2.97499,2.99669
42,1464956757212609,41,2.97652,0,3.02173,0,14,-1879.7470000000003,fixation,2.97652,3.02173
42,1464956757229357,41,2.95174,0,2.98743,0,14,-1862.9990000000003,fixation,2.95174,2.98743
42,1464956757245983,41,2.9633,0,2.98962,0,14,-1846.373,fixation,2.9633,2.98962
42,1464956757262613,41,2.98508,0,3.02728,0,14,-1829.743,fixation,2.98508,3.02728
42,1464956757279230,41,2.94798,0,2.97577,0,14,-1813.1260000000002,fixation,2.94798,2.97577
42,1464956757295979,41,2.94075,0,2.95723,0,14,-1796.377,fixation,2.94075,2.95723
42,1464956757312603,41,2.97566,0,2.98982,0,14,-1779.7530000000002,fixation,2.97566,2.98982
42,1464956757329227,41,2.94553,0,2.9407,0,14,-1763.1290000000004,fixation,2.94553,2.9407
42,1464956757345849,41,2.9595,0,2.96786,0,14,-1746.507,fixation,2.9595,2.96786
42,1464956757362472,41,2.94864,0,2.93369,0,14,-1729.884,fixation,2.94864,2.93369
42,1464956757379222,41,2.92613,0,2.94345,0,14,-1713.134,fixation,2.92613,2.94345
42,1464956757395845,41,2.93774,0,2.97502,0,14,-1696.511,fixation,2.93774,2.97502
42,1464956757412471,41,2.9395,0,2.94806,0,14,-1679.8850000000002,fixation,2.9395,2.94806
42,1464956757429094,41,2.922,0,2.94478,0,14,-1663.2620000000002,fixation,2.922,2.94478
42,1464956757445843,41,2.93877,0,2.94206,0,14,-1646.5130000000004,fixation,2.93877,2.94206
42,1464956757462467,41,2.92596,0,2.95796,0,14,-1629.8890000000001,fixation,2.92596,2.95796
42,1464956757479091,41,2.92712,0,2.93507,0,14,-1613.2650000000003,fixation,2.92712,2.93507
42,1464956757495715,41,2.92369,0,2.94188,0,14,-1596.641,fixation,2.92369,2.94188
42,1464956757512465,41,2.93298,0,2.95001,0,14,-1579.891,fixation,2.93298,2.95001
42,1464956757529086,41,2.94833,0,2.94356,0,14,-1563.27,fixation,2.94833,2.94356
42,1464956757545710,41,2.96538,0,2.93869,0,14,-1546.6460000000002,fixation,2.96538,2.93869
42,1464956757562334,41,2.91974,0,2.97006,0,14,-1530.022,fixation,2.91974,2.97006
42,1464956757578958,41,2.96291,0,2.959,0,14,-1513.3980000000001,fixation,2.96291,2.959
42,1464956757595707,41,2.94185,0,2.9709,0,14,-1496.6490000000003,fixation,2.94185,2.9709
42,1464956757612332,41,2.94803,0,2.98238,0,14,-1480.0240000000003,fixation,2.94803,2.98238
42,1464956757628956,41,2.99083,0,3.01376,0,14,-1463.4,fixation,2.99083,3.01376
42,1464956757645581,41,2.99077,0,2.99936,0,14,-1446.775,fixation,2.99077,2.99936
