ID,trial,timestamp,event,pupil_right,pupil_left,validity_left,validity_right
1,29,7301995.219,fixation,2.27435,2.46985,0,0
1,29,7302011.885,fixation,2.27319,2.47009,0,0
1,29,7302028.552,fixation,2.28481,2.47989,0,0
1,29,7302045.219,fixation,2.28334,2.47661,0,0
1,29,7302061.885,fixation,2.28838,2.49263,0,0
1,29,7302078.552,fixation,2.29413,-1,4,0
1,29,7302095.219,fixation,2.29893,-1,4,0
1,29,7302111.885,fixation,2.30838,2.50259,0,0
1,29,7302128.552,fixation,2.30556,2.508,0,0
1,29,7302145.219,fixation,2.30977,2.50153,0,0
1,29,7302161.885,fixation,2.30377,2.49527,0,0
1,29,7302178.552,fixation,2.30597,2.49925,0,0
1,29,7302195.219,fixation,2.29906,2.47491,0,0
1,29,7302211.885,fixation,2.28058,2.47884,0,0
1,29,7302228.552,fixation,2.28571,2.46922,0,0
1,29,7302245.219,fixation,2.27641,2.47127,0,0
1,29,7302261.885,fixation,2.27794,2.44357,0,0
1,29,7302278.552,fixation,2.25269,2.41786,0,0
1,29,7302295.219,fixation,2.25174,2.41603,0,0
1,29,7302311.885,fixation,2.24892,2.41141,0,0
1,29,7302328.552,fixation,2.23213,2.40587,0,0
1,29,7302345.219,fixation,2.22514,-1,4,0
1,29,7302361.885,fixation,2.22183,2.39839,0,0
1,29,7302378.552,fixation,2.22504,-1,4,0
1,29,7302395.219,fixation,2.22446,2.40041,0,0
1,29,7302411.885,fixation,2.20587,2.39058,0,0
1,29,7302428.552,fixation,2.21481,2.39928,0,0
1,29,7302445.219,fixation,2.21707,2.39763,0,0
1,29,7302461.885,fixation,2.21863,2.39726,0,0
1,29,7302478.552,fixation,2.20116,2.3905,0,0
1,29,7302495.219,fixation,2.20418,2.40305,0,0
1,29,7302511.885,fixation,2.21367,2.38638,0,0
1,29,7302528.552,fixation,2.20816,2.39706,0,0
1,29,7302545.219,fixation,2.21384,-1,4,0
1,29,7302561.885,fixation,2.20621,2.40231,0,0
1,29,7302578.552,fixation,2.20319,2.38966,0,0
1,29,7302595.219,fixation,2.2131,2.40704,0,0
1,29,7302611.885,fixation,2.20531,2.41418,0,0
1,29,7302628.552,fixation,2.21005,2.4043,0,0
1,29,7302645.219,fixation,2.21129,2.41089,0,0
1,29,7302661.885,fixation,2.21179,2.41295,0,0
1,29,7302678.552,fixation,2.21249,2.41241,0,0
1,29,7302695.219,fixation,2.20995,2.41592,0,0
1,29,7302711.885,fixation,2.20618,2.41496,0,0
1,29,7302728.552,fixation,2.2077,2.42502,0,0
1,29,7302745.219,fixation,2.2126,2.4279,0,0
1,29,7302761.885,fixation,2.21275,2.4205,0,0
1,29,7302778.552,fixation,2.21408,2.41258,0,0
1,29,7302795.219,fixation,2.21317,2.41692,0,0
1,29,7302811.885,fixation,2.20506,2.42001,0,0
1,29,7302828.552,fixation,2.20198,2.41829,0,0
1,29,7302845.219,fixation,2.20047,2.41811,0,0
1,29,7302861.885,fixation,2.20959,2.42125,0,0
1,29,7302878.552,fixation,2.20694,2.42018,0,0
1,29,7302895.219,fixation,2.21101,2.40776,0,0
1,29,7302911.885,fixation,2.20604,2.41986,0,0
1,29,7302928.552,fixation,2.2196,2.40492,0,0
1,29,7302945.219,fixation,2.22795,-1,4,0
1,29,7302961.885,fixation,2.21623,-1,4,0
1,29,7302978.552,fixation,2.22823,2.41418,0,0
1,29,7302995.219,fixation,2.22208,2.40977,0,0
1,29,7303011.885,fixation,2.21146,2.40878,0,0
1,29,7303028.552,fixation,2.21967,2.41888,0,0
1,29,7303045.219,fixation,2.22934,2.41876,0,0
1,29,7303061.885,fixation,2.22586,2.41582,0,0
1,29,7303078.552,fixation,2.21941,2.42412,0,0
1,29,7303095.219,fixation,2.22278,-1,4,0
1,29,7303111.885,fixation,2.23215,2.4272,0,0
1,29,7303128.552,fixation,2.23087,2.437,0,0
1,29,7303145.219,fixation,2.24298,2.4268,0,0
1,29,7303161.885,fixation,2.24081,2.4346,0,0
1,29,7303178.552,fixation,2.24211,2.44037,0,0
1,29,7303195.219,fixation,2.24182,2.42265,0,0
1,29,7303211.885,fixation,2.24489,2.42931,0,0
1,29,7303228.552,fixation,2.24777,2.42397,0,0
1,29,7303245.219,fixation,2.24924,2.44122,0,0
1,29,7303261.885,fixation,2.24379,2.44519,0,0
1,29,7303278.552,fixation,2.25208,2.43076,0,0
1,29,7303295.219,fixation,2.24879,2.43346,0,0
1,29,7303311.885,fixation,2.24406,2.43344,0,0
1,29,7303328.552,fixation,2.25777,2.42717,0,0
1,29,7303345.219,fixation,2.25273,2.42856,0,0
1,29,7303361.885,fixation,2.25987,2.43405,0,0
1,29,7303378.552,fixation,2.26601,2.44603,0,0
1,29,7303395.219,fixation,2.25241,2.44127,0,0
1,29,7303411.885,fixation,2.26611,2.44577,0,0
1,29,7303428.552,fixation,2.26265,2.43872,0,0
1,29,7303445.219,fixation,2.27136,2.45305,0,0
1,29,7303461.885,fixation,2.27133,-1,4,0
1,29,7303478.552,fixation,2.2643,2.45132,0,0
1,29,7303495.219,fixation,2.26331,-1,4,0
1,29,7303511.885,fixation,2.267,2.45518,0,0
1,29,7303528.552,fixation,2.27971,2.45218,0,0
1,29,7303545.219,fixation,2.26859,2.4838,0,0
1,29,7303561.885,fixation,2.26997,2.45529,0,0
1,29,7303578.552,fixation,2.2682,2.45956,0,0
1,29,7303595.219,fixation,2.25555,2.45157,0,0
1,29,7303611.885,fixation,2.25786,2.45297,0,0
1,29,7303628.552,fixation,2.25642,2.45178,0,0
1,29,7303645.219,fixation,2.26717,2.45375,0,0
1,29,7303661.885,fixation,2.25572,2.45543,0,0
1,29,7303678.552,fixation,2.25299,2.44408,0,0
1,29,7303695.219,fixation,2.24486,2.44977,0,0
1,29,7303711.885,fixation,2.2516,-1,4,0
1,29,7303728.552,fixation,2.243,2.45457,0,0
1,29,7303745.219,fixation,2.24001,2.44014,0,0
1,29,7303761.885,fixation,2.24821,2.44215,0,0
1,29,7303778.552,fixation,2.24939,2.43532,0,0
1,29,7303795.219,fixation,2.23906,2.42905,0,0
1,29,7303811.885,fixation,2.24571,2.44212,0,0
1,29,7303828.552,fixation,2.25438,2.44254,0,0
1,29,7303845.219,fixation,2.25211,2.44786,0,0
1,29,7303861.885,fixation,2.24812,2.43971,0,0
1,29,7303878.552,fixation,2.25647,2.44431,0,0
1,29,7303895.219,fixation,2.25998,2.46722,0,0
1,29,7303911.885,fixation,2.25006,2.45036,0,0
1,29,7303928.552,fixation,2.24704,2.44714,0,0
1,29,7303945.219,fixation,2.25842,-1,4,0
1,29,7303961.885,feedback,2.26704,2.45859,0,0
1,29,7303978.552,feedback,2.26797,2.46371,0,0
1,29,7303995.219,feedback,2.25392,2.46574,0,0
1,29,7304011.885,feedback,2.26204,2.46404,0,0
1,29,7304028.552,feedback,2.2682,2.46892,0,0
1,29,7304045.219,feedback,2.26656,2.48196,0,0
1,29,7304061.885,feedback,2.27049,2.47658,0,0
1,29,7304078.552,feedback,2.26022,2.48708,0,0
1,29,7304095.219,feedback,2.26701,2.4857,0,0
1,29,7304111.885,feedback,2.26991,2.48112,0,0
1,29,7304128.552,feedback,2.26636,2.48965,0,0
1,29,7304145.219,feedback,2.27328,2.49623,0,0
1,29,7304161.885,feedback,2.26675,2.50206,0,0
1,29,7304178.552,feedback,2.26595,2.49515,0,0
1,29,7304195.219,feedback,2.2659,2.49989,0,0
1,29,7304211.885,feedback,2.27127,2.50282,0,0
1,29,7304228.552,feedback,2.27116,2.50447,0,0
1,29,7304245.219,feedback,2.26775,2.49371,0,0
1,29,7304261.885,feedback,2.27026,2.50162,0,0
1,29,7304278.552,feedback,2.26595,2.49785,0,0
1,29,7304295.219,feedback,2.27467,2.49904,0,0
1,29,7304311.885,feedback,2.28394,2.50577,0,0
1,29,7304328.552,feedback,2.27328,2.50165,0,0
1,29,7304345.219,feedback,2.2709,2.50616,0,0
1,29,7304361.885,feedback,2.28433,-1,4,0
1,29,7304378.552,feedback,2.28537,2.48709,0,0
1,29,7304395.219,feedback,2.26202,2.49524,0,0
1,29,7304945.193,feedback,2.34584,2.52365,0,0
1,29,7304961.859,feedback,2.3373,2.52837,0,0
1,29,7304978.526,feedback,2.34236,2.52028,0,0
1,29,7304995.193,feedback,2.34227,2.51115,0,0
1,29,7305011.859,feedback,2.34877,2.51569,0,0
1,29,7305028.526,feedback,2.35002,2.51833,0,0
1,29,7305045.193,feedback,2.35176,2.51653,0,0
1,29,7305061.859,feedback,2.35632,2.52225,0,0
1,29,7305078.526,feedback,2.35449,2.51193,0,0
1,29,7305095.193,feedback,2.35483,2.51312,0,0
1,29,7305111.859,feedback,2.33865,2.51276,0,0
1,29,7305128.526,feedback,2.35257,2.53868,0,0
1,29,7305145.193,feedback,2.33786,2.52647,0,0
1,29,7305161.859,feedback,2.33272,2.52519,0,0
1,29,7305178.526,feedback,2.33086,2.52248,0,0
1,29,7305195.193,feedback,2.32968,2.52853,0,0
1,29,7305211.859,feedback,2.32922,2.53282,0,0
1,29,7305228.526,feedback,2.32629,2.52866,0,0
1,29,7305245.193,feedback,2.31949,2.51878,0,0
1,29,7305261.859,feedback,2.32536,2.51938,0,0
1,29,7305278.526,feedback,2.31439,-1,4,0
1,29,7305295.193,feedback,2.32343,2.52473,0,0
1,29,7305311.859,feedback,2.31651,2.51262,0,0
1,29,7305328.526,feedback,2.31778,2.50089,0,0
1,29,7305345.193,feedback,2.30836,2.50609,0,0
1,29,7305361.859,feedback,2.319,2.5099,0,0
1,29,7305378.526,feedback,2.31157,-1,4,0
1,29,7305395.193,feedback,2.31331,2.5042,0,0
1,29,7305411.859,feedback,2.3114,2.50153,0,0
1,29,7305428.526,feedback,2.30989,2.50307,0,0
1,29,7305445.193,feedback,2.3042,2.50096,0,0
1,29,7305461.859,feedback,2.29874,2.49973,0,0
1,29,7305478.526,feedback,2.28813,2.48543,0,0
1,29,7305495.193,feedback,2.28636,-1,4,0
1,29,7305511.859,feedback,2.29092,2.48369,0,0
1,29,7305528.526,feedback,2.28381,2.48114,0,0
1,29,7305545.193,feedback,2.27881,2.47453,0,0
1,29,7305561.859,feedback,2.28143,2.43608,0,0
1,29,7305578.526,feedback,2.27057,2.47467,0,0
1,29,7305595.193,feedback,2.27699,2.4818,0,0
1,29,7305611.859,feedback,2.28525,2.47775,0,0
1,29,7305628.526,feedback,2.27277,2.48076,0,0
1,29,7305645.193,feedback,2.28075,2.4906,0,0
1,29,7305661.859,feedback,2.26111,2.48596,0,0
1,29,7305678.526,feedback,2.27338,2.48782,0,0
1,29,7305695.193,feedback,2.27936,2.48743,0,0
1,29,7305711.859,feedback,2.27782,2.49606,0,0
1,29,7305728.526,feedback,2.27295,2.48941,0,0
1,29,7305745.193,feedback,2.28006,2.49385,0,0
1,29,7305761.859,feedback,2.27679,2.49928,0,0
1,29,7305778.526,feedback,2.27461,2.48985,0,0
1,29,7305795.193,feedback,2.27399,2.48759,0,0
1,29,7305811.859,feedback,2.269,2.48799,0,0
1,29,7305828.526,feedback,2.29062,2.49644,0,0
1,29,7305845.193,feedback,2.28874,2.48586,0,0
1,29,7305861.859,feedback,2.28795,2.48849,0,0
1,29,7305878.526,feedback,2.28421,2.48999,0,0
1,29,7305895.193,feedback,2.29048,2.48856,0,0
1,29,7305911.859,feedback,2.28503,2.49374,0,0
1,29,7305928.526,feedback,2.28708,2.48444,0,0
1,29,7305945.193,feedback,2.28714,2.48218,0,0
1,29,7305961.859,feedback,2.29395,2.47635,0,0
1,29,7305978.526,feedback,2.27782,2.48297,0,0
1,29,7305995.193,feedback,2.28339,2.48108,0,0
1,29,7306011.859,feedback,2.28592,2.47485,0,0
1,29,7306028.526,feedback,2.27733,2.46555,0,0
1,29,7306045.193,feedback,2.27721,2.47542,0,0
1,29,7306061.859,feedback,2.27792,-1,4,0
1,29,7306078.526,feedback,2.27216,2.46335,0,0
1,29,7306095.193,feedback,2.26729,-1,4,0
1,29,7306111.859,feedback,2.26791,2.46172,0,0
1,29,7306128.526,feedback,2.26892,2.47151,0,0
1,29,7306145.193,feedback,2.26257,2.46292,0,0
1,29,7306161.859,feedback,2.26126,2.4543,0,0
1,29,7306178.526,feedback,2.25357,2.45462,0,0
1,29,7306195.193,feedback,2.26286,2.45084,0,0
1,29,7306211.859,feedback,2.26105,2.44838,0,0
1,29,7306228.526,feedback,2.26019,2.4577,0,0
1,29,7306245.193,feedback,2.25696,2.46751,0,0
1,29,7306261.859,feedback,2.2614899999999998,2.45918,0,0
1,29,7306278.526,feedback,2.26543,2.46391,0,0
1,29,7306295.193,feedback,2.26151,2.45805,0,0
1,29,7306311.859,feedback,2.26518,2.46252,0,0
1,29,7306328.526,feedback,2.26546,2.47083,0,0
1,29,7306345.193,feedback,2.27634,2.47481,0,0
1,29,7306361.859,feedback,2.26813,2.47804,0,0
1,29,7306378.526,feedback,2.28847,2.48332,0,0
1,29,7306395.193,feedback,2.28275,2.4792,0,0
1,29,7306411.859,feedback,2.28156,2.48848,0,0
1,29,7306428.526,feedback,2.28862,2.48611,0,0
1,29,7306445.193,feedback,2.28424,-1,4,0
1,29,7306461.859,feedback,2.28432,2.48695,0,0
1,29,7306478.526,feedback,2.27814,2.49487,0,0
1,29,7306495.193,feedback,2.28546,2.50159,0,0
1,29,7306511.859,feedback,2.28563,2.49706,0,0
1,29,7306528.526,feedback,2.27315,2.4901,0,0
1,29,7306545.193,feedback,2.27554,-1,4,0
1,29,7306561.859,feedback,2.28448,2.49417,0,0
1,29,7306578.526,feedback,2.28018,2.49979,0,0
1,29,7306595.193,feedback,2.29292,2.48459,0,0
1,29,7306611.859,feedback,2.28447,2.48882,0,0
1,29,7306628.526,feedback,2.28979,2.48651,0,0
1,29,7306645.193,feedback,2.27689,2.48187,0,0
1,29,7306661.859,feedback,2.28458,2.48878,0,0
1,29,7306678.526,feedback,2.2874,2.47713,0,0
1,29,7306695.193,feedback,2.28331,2.47241,0,0
1,29,7306711.859,feedback,2.29189,-1,4,0
1,29,7306728.526,feedback,2.27036,2.48105,0,0
1,29,7306745.193,feedback,2.27223,2.47559,0,0
1,29,7306761.859,feedback,2.2758,2.474,0,0
1,29,7306778.526,feedback,2.26634,2.4774,0,0
1,29,7306795.193,feedback,2.26027,2.47133,0,0
1,29,7306811.859,feedback,2.27058,2.46872,0,0
1,29,7306828.526,feedback,2.25633,2.47165,0,0
1,29,7306845.193,feedback,2.26663,2.46977,0,0
1,29,7306861.859,feedback,2.25815,2.46661,0,0
1,29,7306878.526,feedback,2.26357,2.46577,0,0
1,29,7306895.193,feedback,2.26398,2.47163,0,0
1,29,7306911.859,feedback,2.27101,2.47316,0,0
1,29,7306928.526,feedback,2.2672,2.49257,0,0
1,29,7306945.193,feedback,2.26396,2.46654,0,0
1,29,7306961.859,feedback,2.25848,2.4747,0,0
1,29,7307011.859,feedback,2.25702,2.48079,0,0
1,29,7307028.526,feedback,2.26999,2.48061,0,0
